NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
BANKTOKYO US$500M4.1%N230909A                               US064255AR31        2ZJB      BkTokyo n4.1%230909A
BANKTOKYO US$500M4.1%N230909R                               USJ0423YBK94        2ZIB      BkTokyo n4.1%230909R
BANKTOKYO US$500MF180305A                                   US064255BN18        25EB      BkTokyo f180305A
BANKTOKYO US$500MF180305R                                   USJ0423YCA04        25DB      BkTokyo f180305R
BANKTOKYO US$750M1.65%N180226A                              US064255AL60        2QJB      BkTokyo n1.65%180226A
BANKTOKYO US$750M1.65%N180226R                              USJ0423YBE35        2QKB      BkTokyo n1.65%180226R
BANKTOKYO US$750M2.85%N210908A                              US064255BG66        15IB      BkTokyo n2.85%210908A
BANKTOKYO US$750M2.85%N210908R                              USJ0423YBW33        15HB      BkTokyo n2.85%210908R
BANKTOKYO US$750M3.75%N240310A                              US064255AW26        3B7B      BkTokyo n3.75%240310A
BANKTOKYO US$750M3.75%N240310R                              USJ0423YBQ64        3B6B      BkTokyo n3.75%240310R
BANKTOKYOUS$1.25B2.35%N190908A                              US064255BC52        15EB      BkTokyo n2.35%190908A
BANKTOKYOUS$1.25B2.35%N190908R                              USJ0423YBU76        15DB      BkTokyo n2.35%190908R
BANYAN S$100M4.85%N200605                                   SG6XC5000008        30PB      Banyan n4.85%200605S
BANYAN S$125M4.875%N190603                                  SG6QG0000008        3R2B      Banyan4.875%190603 S
BANYAN TREE HOLDINGS LIMITED                                SG1T49930665        B58       Banyan Tree
BAOXIN US$300M6.625%N190402                                 XS1800194489        8QCB      Baoxin n6.625%190402S
BAOXIN US$300M7.9%N200209                                   XS1833291203        PETB      Baoxin n7.9%200209S
BAOXIN USD400M5.625%PERSEC                                  XS1706083489        83FB      Baoxin 5.625%PerSec S
BAOXINA USD300M8.75% PERCAPSEC                              XS1519630484        66KB      Baoxin 8.75%PerCapSec S
BARCLAYS BANK US$10MF170831                                 XS0785275107        2YGB      BarclaysBank f170831S
BARMINCO US$350M6.625%N220515                               USQ13095AB23        6U0B      Barminco n6.625%220515S
BAVARIAN SKY US$250M F190918                                XS0986194453        2N1B      BavarianSky f190918S
BAYFRONTINF US$19MF380111                                   XS1830130925        LIOB      BayfrontInfF380111S
BAYFRONTINF US$320.6MF380111                                XS1830126576        W0DB      BayfrontInf F380111S
BAYFRONTINF US$72.6MF380111                                 XS1830129919        JCZB      BayfrontInfrF380111S
BBR HOLDINGS (S) LTD                                        SG1Z42953799        KJ5       BBR
BDOUNIBANKUS$300M2.625%N211024                              XS1503116599        60WB      BDOUniBk n2.625%211024S
BDOUNIBANKUS$700M2.95%N230306                               XS1673684509        7U7B      BDOUniBk n2.95%230306S
BENG KUANG MARINE LIMITED                                   SG1BH2000007        BEZ       Beng Kuang^
BEST WORLD INTERNATIONAL LTD                                SG1DG3000004        CGN       Best World
BH GLOBAL CORPORATION LIMITED                               SG1CF8000003        BQN       BH Global^
BHARAT PET US$500M4%250508                                  XS1227064430        29CB      BharatPet n4%250508S
BHARAT PET US$500M4.375%220124                              XS1939427842        QSIB      BharatPn4.375%220124S
BHARAT PET US$500M4.625%221025                              XS0848436365        2KPB      BharatPn4.625%221025S
BHARTIAIR EUR750M3.375%210520A                              XS1028954797        3P1B      BhartiAn3.375%210520A
BHARTIAIR EUR750M3.375%210520R                              XS1028954953        3P0B      BhartiAn3.375%210520R
BHARTIAIR US$1B5.35%240520A                                 US08861JAB52        3P3B      BhartiAn5.35%240520A
BHARTIAIR US$1B5.35%240520R                                 USN1384FAB15        3P2B      BhartiAn5.35%240520R
BHARTIAIRLTDUS$1B4.375%250610A                              US08860HAA23        31AB      BhartiAir4.375%250610A
BHARTIAIRLTDUS$1B4.375%250610R                              USY0889VAA80        31BB      BhartiAir4.375%250610R
BHARTIAIRTELUS$1B5.125%230311A                              US08861JAA79        2QSB      BhartiAn5.125%230311A
BHARTIAIRTELUS$1B5.125%230311R                              USN1384FAA32        2QTB      BhartiAn5.125%230311R
BHG RETAIL REIT                                             SG1CD7000009        BMGU      BHG Retail Reit
BHIRA INV US$450MN710427                                    XS0620623636        4UDB      Bhira Inv n710427S
BILT PAPER US$200M PERCAPSEC A                              US058590AA85        4ZHB      BiltPaperPerCapSec A
BILT PAPER US$200M PERCAPSEC R                              USN08328AA95        4ZGB      BiltPaperPerCapSec R
BIOLIDICS LIMITED                                           SGXE89830751        8YY       Biolidics
BIZLINKHOLDING US$100MCB230201                              XS1747012612        8GXB      BizlinkHldg cb230201S
BKBARODA US$750M4.875%N190723A                              US060622AA59        2V6B      BkBaron4.875%190723A
BKBARODA US$750M4.875%N190723R                              USY04342AA28        2V7B      BkBaron4.875%190723R
BKEASTASIAUS$15M2.25%N180316                                XS1203059214        25XB      BkEastAn2.25%180316S
BKOFINDIA US$500M6.25%N210216                               XS0592238876        4QTB      BkInd n6.25%210216S
BKOFINDIAUS$500M3.625%N180921A                              US062780AA95        2RLB      BkInd n3.625%180921A
BKOFINDIAUS$500M3.625%N180921R                              USY06865AA04        2RMB      BkInd n3.625%180921R
BKOFNOVAS CNY170M4.61%N230920                               XS1881875105        IPRB      BkofNova n4.61%230920S
BKOFNOVAS CNY175M4.45%N210920                               XS1882679803        ZWCB      BkofNova n4.45%210920S
BKOFNOVAS CNY200M4.71%N230919                               XS1881018011        JYUB      BkofNova n4.71%230919S
BKOFNOVAS CNY225M4.56%N230912                               XS1878459806        MJVB      BkofNova n4.56%230912S
BKOFNOVAS CNY300M4.17%N220817                               XS1866908426        XJVB      BkofNova n4.17%220817S
BKOFNOVAS CNY500M4.352%N230810                              XS1864504771        56RB      BkofNova n4.352%230810S
BKOFNOVASCO CNY130M5%N190203                                XS1357028544        39VB      BkofNovaSco5%n190203S
BKOFNOVASCO US$10M F210803                                  XS1457592936        4M4B      BkOfNovaSc f210803S
BKOFNOVASCO US$30M3.73%N310127                              XS1347187905        39OB      BkofNovaScon3.73%310127S
BKOFNOVASCOCNY125M3.95%N191112                              XS1515104187        61JB      BkOfNovaSc n3.95%191112S
BKOFNOVASCOCNY130M4.6%N210314                               XS1791579854        8MBB      BkOfNovaSc n4.6%210314S
BKOFNOVASCOCNY133M4.25%N180418                              XS1395526871        3Z0B      BkOfNovaSc4.25%180418S
BKOFNOVASCOCNY155M3.6%N190923                               XS1492069650        4U1B      BkOfNovaSc n3.6%190923S
BKOFNOVASCOCNY200M4.02%N190426                              XS1400841075        4A4B      BkOfNovaSc4.02%190426S
BKOFNOVASCOCNY245M4.05%N210729                              XS1458506067        4M3B      BkOfNovaSc n4.05%210729S
BKOFNOVASCOTIA US$100M Z460203                              XS1355506392        39UB      BkOfNovaScotia z460203S
BKOFNOVASCOTIA US$100M Z461007                              XS1500574261        4X0B      BkOfNovaScotia z461007S
BKOFNOVASCOTIA US$15M Z360216                               XS1361290312        39YB      BkOfNovaScotia z360216S
BKOFNOVASCOTIA US$20M Z310211                               XS1360553132        39XB      BkOfNovaScotia z310211S
BKOFNOVASCOTIA US$30M Z301229                               XS1340197604        38SB      BkOfNovaScotia z301229S
BKOFNOVASCOTIA US$30MF230614                                XS1838924527        NVCB      BkOfNovaScotiaf230614S
BKOFNOVASCOTIA US$50M Z310629                               XS1438578160        4H4B      BkOfNovaScotiaz310629S
BKOFNOVASCOTIA US$50M Z450120                               XS1165974384        23KB      BkOfNovaScotia z450120S
BKOFNOVASCOTIA US$50M Z450312                               XS1197828723        25TB      BkOfNovaScotia z450312S
BKOFNOVASCOTIA US$50M Z450622                               XS1246785874        31KB      BkOfNovaScotia z450622S
BKOFNOVASCOTIA US$50M Z450917                               XS1289183888        34VB      BkOfNovaScotia z450917S
BKOFNOVASCOTIA US$50M Z450925                               XS1293654049        35OB      BkOfNovaScotia z450925S
BKOFNOVASCOTIA US$50M Z451002                               XS1297788819        35TB      BkOfNovaScotia z451002S
BKOFNOVASCOTIA US$50M Z451009                               XS1300957807        35ZB      BkOfNovaScotia z451009S
BKOFNOVASCOTIA US$50M Z451123                               XS1324471959        37SB      BkOfNovaScotia z451123S
BKOFNOVASCOTIA US$80M Z450810                               XS1269914872        34CB      BkOfNovaScotia z450810S
BKOFNOVASCOTIA US$80M Z460714                               XS1442116692        4I4B      BkOfNovaScotiaz460714S
BKOFNOVASCOTIA US$80M Z480921                               XS1881597535        NKKB      BkOfNovaScotia z480921S
BKOFNOVASCOUS$40M3.72%N371220                               XS1738999637        8EAB      BkOfNovaSc n3.72%371220S
BKOFNOVASCOUS$50M4.29%N380315                               XS1792054758        8MHB      BkOfNovaSc n4.29%380315S
BL CAPITAL US$200M4.5%N180817                               XS1265418217        34HB      BLCapitaln4.5%180817S
BLACKGOLD NATURAL RESOURCESLTD                              SG1AH0000001        41H       BlackGoldNatural
BLUEOCUS$159.279681M1%N211231A                    PL        XS1826337476        TETB      BlueOcean n1%211231A
BLUEOCUS$159.279681M1%N211231D                    PL        XS1826337559        NINB      BlueOcean n1%211231D
BLUEOCUS$159.279681M1%N211231R                    PL        XS1826337393        UJZB      BlueOcean n1%211231R
BLUESCOPEUS$300M4.625%N230525                               XS1823166100        8XFB      BlueScopen4.625%230525S
BLUMONT GROUP LTD.                                          SG1I69883698        A33       Blumont
BM MOBILITY LTD.                                            SG1Y74948866        I9T       BMM^
BM MOBILITY LTD. W210213                                    SG5GG5000006        CQEW      BMM W210213^
BOARDRIDEEUR200M8.875%N171215A                              XS0565384962        4OUB      Boardrn8.875%171215A
BOARDRIDEEUR200M8.875%N171215R                              XS0565384707        4OVB      Boardrn8.875%171215R
BOARDROOM LIMITED                                           SG1J08885589        B10       Boardroom
BOC AVIATION US$500MF230926A                                US09681LAH33        EWQB      BOCAviation f230926A
BOC AVIATION US$500MF230926R                                US09681MAH16        VTPB      BOCAviation f230926R
BOC AVIATION US$750M 3%200330A                              US09681LAA89        27JB      BOC Av n3%200330A
BOC AVIATION US$750M 3%200330R                              US09681MAA62        27KB      BOC Av n3%200330R
BOCAVIATION CNY1B4.5%N201017                                XS1700429050        82FB      BOCAviation4.5%201017S
BOCAVIATION CNY250M4.7%200205                               XS1181443760        24BB      BOCAv n4.7%200205S
